# Grammar comparison batch 2 — 100 topics (IDs 1203+)
놀다,즐기다
일하다,근무하다
쉬다,휴식하다
공부하다,복습하다
암기하다,외우다
그리다,그려지다
웃다,웃음나다
울다,눈물나다
소리치다,외치다
꿈꾸다,상상하다
포기하다,그만두다
계속하다,이어가다
멈추다,서다
숨기다,감추다
드러내다,밝히다
사과하다,용서하다
싸우다,다투다
칭찬하다,격려하다
참석하다,출석하다
초대하다,불러주다
방문하다,찾아가다
연락하다,전화하다
전달하다,전해주다
옮기다,이사하다
지불하다,계산하다
예약하다,예매하다
취소하다,환불받다
교환하다,바꾸다
고장나다,멈추다
설치하다,깔다
삭제하다,지우다
저장하다,보관하다
복사하다,붙여넣다
검색하다,찾아보다
공유하다,나누다
추천하다,소개하다
확인하다,체크하다
준비하다,챙기다
가져가다,가져오다
꺼내다,빼내다
덮다,씌우다
접다,펼치다
자르다,뜯다
닦다,문지르다
빨래하다,세탁하다
말리다,건조시키다
굽다,데우다
식다,식히다
끓이다,삶다
섞다,비빈다
썰다,다지다
볶다,튀기다
익다,익히다
짜다,싱겁다
맵다,순하다
뜨겁다,미지근하다
굵다,가늘다
두껍다,얇다
무겁다,가볍다
단단하다,부드럽다
거칠다,매끄럽다
넓다,좁다
깊다,얕다
멀다,가깝다
확실하다,불확실하다
명확하다,애매하다
자주,종종
가끔,드물게
절대,결코
사실,실제로
올바르다,잘못되다
희망하다,기대하다
놀라다,깜짝놀라다
부끄럽다,창피하다
쑥스럽다,민망하다
자신있다,자신없다
부럽다,질투하다
외롭다,쓸쓸하다
긴장하다,떨리다
간단하다,복잡하다
깔끔하다,지저분하다
깨끗하다,더럽다
시원하다,답답하다
춥다,쌀쌀하다
건조하다,습하다
맑다,흐리다
하려고,려고
하러,으러
로서,로써
해도돼,해도돼요
하지마,하지마세요
뿐만아니라,뿐아니라
겠어,을거야
ㄹ게,을게
만약,만일
비록,아무리
어차피,결국
드디어,마침내
방금,막
물론,당연히
