# Grammar comparison batch 3 — 100 topics (~30% 3-way), IDs 1303+
# 3-way: comma-separated triples. 2-way: pairs.
그래서,그러니까,그러면
먼저,일단,우선
조금,약간,살짝
정말,진짜,참
같이,함께,서로
와,과,하고
에,에서,에게
도,까지,조차
아니면,혹은,또는
그래도,그럼에도,하지만
위해서,위해,때문에
전에,앞에,이전에
후에,다음에,이후에
만,뿐,뿐만
처럼,같이,만큼
때,동안,사이
싶다,원하다,바라다
계속,줄곧,꾸준히
자주,가끔,때때로
빨리,서둘러,급히
으로,로,에
부터,에서부터,부터는
마저,조차,까지
이나,나,이나마
든지,든,든가
라도,이나,이든
겠,을게,을거야
던,았던,었던
해서,하니까,하여
뿐,뿐만,뿐이다
받다,받아지다
주다,줘지다
걷다,걸어가다
뛰다,달리다
앉다,앉아있다
서다,서있다
자다,잠자다
일어나다,기상하다
씻다,목욕하다
입다,걸치다
벗다,벗어내다
먹다,드시다
마시다,드시다
요리하다,만들다
사다,구입하다
팔다,판매하다
빌리다,빌려주다
갚다,상환하다
모으다,저축하다
쓰다,소비하다
절약하다,아끼다
배우다,익히다
가르치다,교육하다
공부하다,학습하다
시험보다,응시하다
합격하다,불합격하다
졸업하다,수료하다
입학하다,전학하다
취직하다,구직하다
퇴직하다,사직하다
출근하다,퇴근하다
야근하다,초과근무하다
휴가,연차
병원,의원
약,한약
아프다,편찮다
낫다,회복하다
죽다,돌아가시다
태어나다,출생하다
결혼하다,혼인하다
이혼하다,별거하다
이사하다,전입하다
여행하다,관광하다
출발하다,도착하다
탑승하다,하차하다
예약하다,취소하다
환불하다,교환하다
배송하다,택배
포장하다,봉투에넣다
선물하다,증정하다
축하하다,축하드리다
위로하다,격려하다
사과하다,사과드리다
감사하다,감사드리다
실례하다,실례합니다
허락하다,허락받다
거절하다,거부하다
동의하다,찬성하다
반대하다,이의하다
제안하다,권하다
추천하다,소개하다
비교하다,대조하다
분석하다,해석하다
정리하다,정돈하다
청소하다,치우다
닦다,닦아내다
빨래하다,세탁하다
다림질하다,다리다
버리다,폐기하다
재활용하다,분리수거하다
