# Grammar comparison batch — 100 topics (IDs 1103+)
알다,모르다
생각하다,생각나다
기억하다,잊다
이해하다,이해되다
느끼다,느껴지다
있다,없다
만들다,짓다
고치다,수리하다
찾다,찾아내다
놓다,두다
가지다,갖다
읽다,읽히다
쓰다,써지다
열다,닫다
켜다,끄다
넣다,빼다
올리다,내리다
붙이다,떼다
잃다,잃어버리다
버리다,버려지다
배우다,가르치다
묻다,질문하다
대답하다,답하다
부르다,이르다
살다,지내다
만나다,뵙다
기다리다,참다
들어가다,들어오다
돌아가다,돌아오다
데려가다,데려오다
들고가다,들고오다
건너다,건너오다
따라가다,따라오다
달려가다,달려오다
보내다,받다
건네다,넘기다
시작하다,끝내다
자다,깨다
일어나다,기상하다
씻다,목욕하다
먹다,먹어치우다
요리하다,해주다
청소하다,정리하다
타다,내리다
입다,벗다
사다,구매하다
팔다,판매하다
빌리다,빌려주다
갚다,돌려주다
빌다,부탁하다
약속하다,허락하다
선택하다,고르다
결정하다,정하다
시도하다,노력하다
성공하다,실패하다
이기다,지다
쉽다,어렵다
빠르다,느리다
크다,작다
길다,짧다
높다,낮다
따뜻하다,차갑다
밝다,어둡다
좋다,나쁘다
재미있다,지루하다
행복하다,슬프다
화나다,짜증나다
걱정하다,불안하다
편하다,불편하다
바쁘다,한가하다
피곤하다,졸리다
아프다,다치다
맞다,틀리다
같다,다르다
비싸다,싸다
충분하다,부족하다
가능하다,불가능하다
그런데,근데
오히려,차라리
대신,대신에
위해서,위한
통해서,통해
관해서,관해
대해서,대해
비해서,비해
먹다,드시다
자다,주무시다
있다,계시다
말하다,말씀하다
이름,성함
나이,연세
집,댁
밖에,외에
께서,님이
아서,어서,니까
고나서,고나니
습니다,세요
해요,하세요
고있다,아있다
왜냐하면,때문에
